game_id;team_id;team_name;pts_tot;pts_reb;pts_ast;pts_blk;best_at_pts;best_at_reb;best_at_ast;best_at_blk
1037783;24;Phoenix Suns;140;44;36;13;Kevin Durant;Jusuf Nurkic;Kevin Durant;Nassir Little
1037995;14;Los Angeles Lakers;115;43;24;1;Anthony Davis;Anthony Davis;LeBron James;Anthony Davis
1038218;1;Atlanta Hawks;112;45;30;2;Dejounte Murray;Clint Capela;Dejounte Murray;Clint Capela
1038487;1;Atlanta Hawks;112;42;27;3;Saddiq Bey;Bruno Fernando;Dejounte Murray;Saddiq Bey
1037755;24;Phoenix Suns;133;32;31;3;Devin Booker;Kevin Durant;Kevin Durant;Grayson Allen
1038652;1;Atlanta Hawks;123;53;24;5;Dejounte Murray;Clint Capela;Dejounte Murray;Clint Capela
1037802;17;Milwaukee Bucks;116;47;23;2;Brook Lopez;Giannis Antetokounmpo;Khris Middleton;Pat Connaughton
1038359;17;Milwaukee Bucks;112;51;30;6;Giannis Antetokounmpo;Giannis Antetokounmpo;Giannis Antetokounmpo;Brook Lopez
1038282;1;Atlanta Hawks;129;43;29;4;Trae Young;Clint Capela;Trae Young;Onyeka Okongwu
1038058;17;Milwaukee Bucks;130;42;30;4;Giannis Antetokounmpo;Giannis Antetokounmpo;Giannis Antetokounmpo;Khris Middleton
1038443;1;Atlanta Hawks;97;39;18;8;Dejounte Murray;Clint Capela;Dejounte Murray;Clint Capela
1038602;24;Phoenix Suns;128;38;28;11;Devin Booker;Jusuf Nurkic;Bradley Beal;Kevin Durant
3277480;1;Atlanta Hawks;152;40;28;4;Trae Young;Saddiq Bey;Trae Young;Clint Capela
1038308;1;Atlanta Hawks;144;39;35;4;De'Andre Hunter;De'Andre Hunter;Trae Young;Bruno Fernando
1037908;14;Los Angeles Lakers;122;46;31;4;Anthony Davis;Anthony Davis;D'Angelo Russell;Rui Hachimura
1038125;1;Atlanta Hawks;108;28;25;1;Dejounte Murray;Bogdan Bogdanovic;Trent Forrest;Clint Capela
1038253;24;Phoenix Suns;118;47;30;8;Eric Gordon;Devin Booker;Bradley Beal;Kevin Durant
1038661;24;Phoenix Suns;103;39;26;6;Kevin Durant;Grayson Allen;Grayson Allen;Drew Eubanks
1038083;14;Los Angeles Lakers;113;35;26;3;LeBron James;Austin Reaves;Austin Reaves;Anthony Davis
1038103;24;Phoenix Suns;111;25;17;4;Kevin Durant;Kevin Durant;Devin Booker;Drew Eubanks
1038349;24;Phoenix Suns;112;42;28;8;Devin Booker;Kevin Durant;Kevin Durant;Kevin Durant
1038398;24;Phoenix Suns;110;58;23;8;Kevin Durant;Bol Bol;Kevin Durant;Grayson Allen
1037674;1;Atlanta Hawks;123;52;28;5;Trae Young;Jalen Johnson;Trae Young;Bogdan Bogdanovic
1037839;14;Los Angeles Lakers;94;32;23;4;LeBron James;Anthony Davis;D'Angelo Russell;Anthony Davis
1037607;17;Milwaukee Bucks;118;44;20;4;Damian Lillard;Giannis Antetokounmpo;Damian Lillard;Giannis Antetokounmpo
3277350;17;Milwaukee Bucks;110;41;24;10;Damian Lillard;Khris Middleton;Giannis Antetokounmpo;Brook Lopez
1037892;17;Milwaukee Bucks;133;48;34;4;Giannis Antetokounmpo;Khris Middleton;Damian Lillard;Brook Lopez
1038405;14;Los Angeles Lakers;123;46;28;4;LeBron James;Anthony Davis;LeBron James;Austin Reaves
1038410;24;Phoenix Suns;123;50;32;9;Grayson Allen;Jusuf Nurkic;Devin Booker;Bol Bol
3277453;24;Phoenix Suns;131;36;35;4;Kevin Durant;Kevin Durant;Devin Booker;Keita Bates-Diop
1038123;14;Los Angeles Lakers;109;37;33;4;D'Angelo Russell;Jarred Vanderbilt;LeBron James;Anthony Davis
1038028;24;Phoenix Suns;133;39;34;11;Devin Booker;Jusuf Nurkic;Kevin Durant;Kevin Durant
1038210;14;Los Angeles Lakers;116;41;27;9;D'Angelo Russell;Anthony Davis;D'Angelo Russell;Cameron Reddish
1037608;14;Los Angeles Lakers;100;42;24;7;Anthony Davis;Anthony Davis;LeBron James;Anthony Davis
1038197;14;Los Angeles Lakers;134;45;28;6;D'Angelo Russell;Anthony Davis;D'Angelo Russell;Christian Wood
1038526;24;Phoenix Suns;117;42;23;6;Kevin Durant;Kevin Durant;Devin Booker;Grayson Allen
1037702;14;Los Angeles Lakers;94;34;20;6;Rui Hachimura;Max Christie;Austin Reaves;D'Angelo Russell
1037774;17;Milwaukee Bucks;132;40;29;3;Giannis Antetokounmpo;Giannis Antetokounmpo;Damian Lillard;Brook Lopez
1038135;1;Atlanta Hawks;99;50;21;7;Trae Young;Onyeka Okongwu;Trae Young;Onyeka Okongwu
1038088;17;Milwaukee Bucks;108;41;21;4;Giannis Antetokounmpo;Giannis Antetokounmpo;Damian Lillard;Giannis Antetokounmpo
1038346;1;Atlanta Hawks;122;41;25;8;Dejounte Murray;Bogdan Bogdanovic;Trae Young;Onyeka Okongwu
3277529;1;Atlanta Hawks;105;44;21;3;Bogdan Bogdanovic;Clint Capela;Trae Young;Clint Capela
